Estudiante;Materia 1;Materia 2;Materia 3;Materia 4;Materia 5
Estudiante 1;5,0;2,0;2,0;0,0;2,0
Estudiante 2;5,0;5,0;3,0;1,0;3,0
Estudiante 3;0,0;3,0;5,0;2,0;5,0
Estudiante 4;4,0;2,0;3,0;2,0;0,0
Estudiante 5;2,0;5,0;0,0;3,0;4,0
Estudiante 6;0,0;3,0;1,0;4,0;4,0
Estudiante 7;2,0;1,0;5,0;2,0;0,0
Estudiante 8;1,0;3,0;0,0;0,0;0,0
Estudiante 9;0,0;0,0;2,0;0,0;2,0
Estudiante 10;0,0;1,0;0,0;2,0;5,0
Estudiante 11;1,0;0,0;0,0;3,0;5,0
Estudiante 12;3,0;1,0;1,0;0,0;4,0
Estudiante 13;0,0;1,0;1,0;4,0;0,0
Estudiante 14;4,0;5,0;2,0;5,0;2,0
Estudiante 15;4,0;3,0;1,0;1,0;1,0
Estudiante 16;5,0;4,0;2,0;4,0;2,0
Estudiante 17;1,0;0,0;0,0;2,0;3,0
Estudiante 18;0,0;0,0;1,0;1,0;2,0
Estudiante 19;2,0;0,0;3,0;2,0;0,0
Estudiante 20;4,0;3,0;4,0;4,0;4,0
Estudiante 21;3,0;3,0;0,0;0,0;2,0
Estudiante 22;0,0;0,0;5,0;3,0;2,0
Estudiante 23;1,0;2,0;3,0;0,0;1,0
Estudiante 24;2,0;5,0;1,0;0,0;1,0
Estudiante 25;3,0;1,0;1,0;2,0;4,0
Estudiante 26;2,0;1,0;2,0;0,0;3,0
Estudiante 27;5,0;2,0;5,0;5,0;5,0
Estudiante 28;2,0;1,0;5,0;0,0;0,0
Estudiante 29;1,0;3,0;5,0;3,0;4,0
Estudiante 30;3,0;3,0;2,0;0,0;3,0
Estudiante 31;5,0;4,0;0,0;1,0;3,0
Estudiante 32;5,0;1,0;2,0;0,0;0,0
Estudiante 33;4,0;5,0;2,0;1,0;0,0
Estudiante 34;5,0;4,0;5,0;4,0;3,0
Estudiante 35;1,0;1,0;2,0;3,0;3,0
Estudiante 36;4,0;0,0;5,0;2,0;2,0
Estudiante 37;4,0;0,0;3,0;5,0;2,0
Estudiante 38;4,0;2,0;5,0;3,0;3,0
Estudiante 39;5,0;2,0;1,0;2,0;5,0
Estudiante 40;5,0;2,0;0,0;4,0;5,0
Estudiante 41;3,0;1,0;1,0;3,0;0,0
Estudiante 42;0,0;4,0;0,0;4,0;2,0
Estudiante 43;4,0;4,0;2,0;2,0;4,0
Estudiante 44;4,0;1,0;0,0;0,0;5,0
Estudiante 45;3,0;5,0;2,0;0,0;3,0
Estudiante 46;2,0;3,0;0,0;4,0;4,0
Estudiante 47;2,0;3,0;4,0;0,0;3,0
Estudiante 48;2,0;3,0;5,0;2,0;1,0
Estudiante 49;1,0;3,0;4,0;0,0;3,0
Estudiante 50;4,0;5,0;4,0;3,0;0,0
Estudiante 51;3,0;2,0;2,0;1,0;4,0
Estudiante 52;2,0;2,0;5,0;4,0;2,0
Estudiante 53;3,0;4,0;0,0;1,0;5,0
Estudiante 54;4,0;2,0;2,0;3,0;4,0
Estudiante 55;2,0;5,0;3,0;1,0;2,0
Estudiante 56;5,0;0,0;3,0;2,0;2,0
Estudiante 57;3,0;0,0;1,0;1,0;3,0
Estudiante 58;2,0;3,0;4,0;3,0;3,0
Estudiante 59;0,0;4,0;1,0;4,0;5,0
Estudiante 60;0,0;4,0;5,0;4,0;1,0
Estudiante 61;2,0;1,0;0,0;2,0;2,0
Estudiante 62;1,0;0,0;5,0;0,0;0,0
Estudiante 63;1,0;4,0;3,0;2,0;2,0
Estudiante 64;4,0;3,0;5,0;3,0;3,0
Estudiante 65;1,0;5,0;3,0;4,0;4,0
Estudiante 66;3,0;0,0;3,0;4,0;5,0
Estudiante 67;1,0;4,0;2,0;0,0;1,0
Estudiante 68;1,0;2,0;2,0;2,0;0,0
Estudiante 69;0,0;2,0;1,0;2,0;1,0
Estudiante 70;0,0;3,0;3,0;3,0;1,0
Estudiante 71;0,0;2,0;3,0;0,0;5,0
Estudiante 72;2,0;0,0;5,0;4,0;2,0
Estudiante 73;2,0;2,0;2,0;3,0;3,0
Estudiante 74;3,0;4,0;2,0;5,0;3,0
Estudiante 75;4,0;4,0;1,0;0,0;0,0
Estudiante 76;5,0;4,0;3,0;5,0;2,0
Estudiante 77;0,0;3,0;4,0;3,0;1,0
Estudiante 78;3,0;1,0;0,0;0,0;4,0
Estudiante 79;1,0;5,0;5,0;2,0;5,0
Estudiante 80;1,0;5,0;0,0;3,0;1,0
Estudiante 81;0,0;3,0;1,0;2,0;2,0
Estudiante 82;3,0;1,0;2,0;4,0;5,0
Estudiante 83;4,0;0,0;3,0;0,0;3,0
Estudiante 84;3,0;2,0;0,0;0,0;3,0
Estudiante 85;0,0;2,0;3,0;1,0;0,0
Estudiante 86;1,0;2,0;4,0;3,0;5,0
Estudiante 87;3,0;3,0;1,0;1,0;4,0
Estudiante 88;5,0;5,0;3,0;1,0;0,0
Estudiante 89;3,0;1,0;0,0;1,0;1,0
Estudiante 90;1,0;0,0;1,0;1,0;1,0
Estudiante 91;3,0;3,0;4,0;0,0;1,0
Estudiante 92;2,0;1,0;3,0;1,0;2,0
Estudiante 93;5,0;1,0;0,0;3,0;4,0
Estudiante 94;3,0;2,0;5,0;3,0;4,0
Estudiante 95;0,0;4,0;3,0;1,0;1,0
Estudiante 96;1,0;0,0;3,0;3,0;0,0
Estudiante 97;0,0;4,0;1,0;5,0;3,0
Estudiante 98;4,0;3,0;0,0;0,0;4,0
Estudiante 99;5,0;1,0;1,0;5,0;3,0
Estudiante 100;5,0;3,0;0,0;0,0;1,0
Estudiante 101;5,0;3,0;3,0;1,0;3,0
Estudiante 102;2,0;5,0;4,0;4,0;1,0
Estudiante 103;5,0;1,0;5,0;0,0;2,0
Estudiante 104;0,0;3,0;5,0;4,0;0,0
Estudiante 105;2,0;4,0;4,0;0,0;2,0
Estudiante 106;5,0;0,0;4,0;3,0;5,0
Estudiante 107;1,0;1,0;0,0;2,0;3,0
Estudiante 108;2,0;5,0;2,0;0,0;1,0
Estudiante 109;2,0;2,0;5,0;0,0;4,0
Estudiante 110;4,0;5,0;2,0;2,0;3,0
Estudiante 111;1,0;0,0;0,0;5,0;3,0
Estudiante 112;0,0;4,0;4,0;4,0;0,0
Estudiante 113;0,0;4,0;0,0;3,0;4,0
Estudiante 114;4,0;1,0;4,0;0,0;4,0
Estudiante 115;2,0;2,0;0,0;2,0;4,0
Estudiante 116;3,0;0,0;2,0;2,0;2,0
Estudiante 117;4,0;1,0;1,0;5,0;3,0
Estudiante 118;4,0;4,0;3,0;3,0;3,0
Estudiante 119;0,0;4,0;2,0;4,0;1,0
Estudiante 120;5,0;5,0;2,0;3,0;0,0
Estudiante 121;5,0;4,0;3,0;2,0;3,0
Estudiante 122;0,0;4,0;3,0;0,0;0,0
Estudiante 123;2,0;5,0;3,0;0,0;4,0
Estudiante 124;0,0;0,0;4,0;1,0;2,0
Estudiante 125;1,0;3,0;4,0;4,0;3,0
Estudiante 126;0,0;5,0;4,0;5,0;4,0
Estudiante 127;5,0;4,0;4,0;2,0;3,0
Estudiante 128;3,0;1,0;0,0;1,0;1,0
Estudiante 129;2,0;1,0;5,0;4,0;4,0
Estudiante 130;2,0;1,0;2,0;0,0;0,0
Estudiante 131;0,0;5,0;3,0;3,0;0,0
Estudiante 132;3,0;2,0;2,0;3,0;5,0
Estudiante 133;2,0;1,0;4,0;4,0;2,0
Estudiante 134;2,0;2,0;2,0;4,0;1,0
Estudiante 135;4,0;4,0;0,0;4,0;1,0
Estudiante 136;4,0;4,0;2,0;3,0;5,0
Estudiante 137;3,0;5,0;2,0;5,0;3,0
Estudiante 138;0,0;2,0;0,0;3,0;3,0
Estudiante 139;2,0;2,0;5,0;3,0;4,0
Estudiante 140;4,0;2,0;0,0;5,0;4,0
Estudiante 141;5,0;2,0;4,0;0,0;4,0
Estudiante 142;3,0;2,0;2,0;5,0;0,0
Estudiante 143;4,0;5,0;5,0;4,0;1,0
Estudiante 144;3,0;1,0;2,0;4,0;1,0
Estudiante 145;4,0;5,0;3,0;4,0;0,0
Estudiante 146;4,0;5,0;4,0;3,0;2,0
Estudiante 147;4,0;4,0;0,0;1,0;1,0
Estudiante 148;1,0;0,0;4,0;4,0;0,0
Estudiante 149;2,0;1,0;3,0;4,0;3,0
Estudiante 150;4,0;1,0;3,0;0,0;2,0
Estudiante 151;3,0;4,0;1,0;3,0;5,0
Estudiante 152;5,0;0,0;3,0;0,0;5,0
Estudiante 153;2,0;0,0;4,0;1,0;4,0
Estudiante 154;4,0;1,0;3,0;4,0;0,0
Estudiante 155;2,0;5,0;1,0;3,0;3,0
Estudiante 156;3,0;3,0;2,0;3,0;5,0
Estudiante 157;5,0;1,0;3,0;4,0;0,0
Estudiante 158;4,0;3,0;3,0;1,0;0,0
Estudiante 159;3,0;2,0;0,0;0,0;5,0
Estudiante 160;1,0;4,0;3,0;2,0;2,0
Estudiante 161;4,0;1,0;3,0;5,0;1,0
Estudiante 162;0,0;5,0;0,0;0,0;2,0
Estudiante 163;5,0;4,0;2,0;4,0;2,0
Estudiante 164;5,0;5,0;5,0;1,0;4,0
Estudiante 165;0,0;4,0;3,0;5,0;0,0
Estudiante 166;3,0;4,0;3,0;4,0;2,0
Estudiante 167;4,0;0,0;1,0;1,0;1,0
Estudiante 168;2,0;2,0;1,0;0,0;2,0
Estudiante 169;1,0;1,0;1,0;1,0;0,0
Estudiante 170;5,0;0,0;3,0;2,0;2,0
Estudiante 171;3,0;3,0;4,0;2,0;5,0
Estudiante 172;4,0;2,0;0,0;0,0;3,0
Estudiante 173;2,0;5,0;3,0;2,0;1,0
Estudiante 174;4,0;5,0;3,0;2,0;4,0
Estudiante 175;5,0;5,0;0,0;0,0;3,0
Estudiante 176;4,0;1,0;3,0;5,0;0,0
Estudiante 177;3,0;1,0;0,0;1,0;4,0
Estudiante 178;0,0;4,0;2,0;2,0;5,0
Estudiante 179;1,0;5,0;4,0;1,0;5,0
Estudiante 180;1,0;0,0;2,0;3,0;5,0
Estudiante 181;3,0;3,0;1,0;5,0;4,0
Estudiante 182;2,0;0,0;3,0;3,0;4,0
Estudiante 183;4,0;4,0;2,0;4,0;0,0
Estudiante 184;4,0;5,0;3,0;4,0;4,0
Estudiante 185;1,0;4,0;0,0;3,0;0,0
Estudiante 186;0,0;0,0;1,0;1,0;3,0
Estudiante 187;3,0;1,0;2,0;5,0;1,0
Estudiante 188;0,0;2,0;3,0;3,0;1,0
Estudiante 189;2,0;5,0;4,0;2,0;0,0
Estudiante 190;1,0;0,0;1,0;2,0;4,0
Estudiante 191;3,0;1,0;5,0;3,0;4,0
Estudiante 192;1,0;4,0;3,0;5,0;4,0
Estudiante 193;0,0;0,0;5,0;5,0;2,0
Estudiante 194;0,0;3,0;0,0;4,0;4,0
Estudiante 195;5,0;3,0;2,0;5,0;3,0
Estudiante 196;0,0;3,0;4,0;2,0;0,0
Estudiante 197;3,0;0,0;2,0;2,0;1,0
Estudiante 198;5,0;2,0;0,0;2,0;4,0
Estudiante 199;5,0;3,0;3,0;0,0;1,0
Estudiante 200;0,0;3,0;4,0;4,0;3,0
Estudiante 201;4,0;0,0;4,0;5,0;1,0
Estudiante 202;3,0;2,0;3,0;5,0;2,0
Estudiante 203;2,0;0,0;3,0;0,0;1,0
Estudiante 204;4,0;1,0;5,0;4,0;5,0
Estudiante 205;4,0;3,0;2,0;0,0;4,0
Estudiante 206;1,0;0,0;0,0;0,0;1,0
Estudiante 207;2,0;1,0;3,0;5,0;1,0
Estudiante 208;4,0;2,0;1,0;4,0;3,0
Estudiante 209;2,0;1,0;4,0;5,0;5,0
Estudiante 210;4,0;2,0;0,0;1,0;5,0
Estudiante 211;1,0;2,0;2,0;2,0;5,0
Estudiante 212;0,0;0,0;5,0;4,0;4,0
Estudiante 213;4,0;2,0;4,0;5,0;1,0
Estudiante 214;4,0;2,0;3,0;4,0;1,0
Estudiante 215;4,0;1,0;2,0;0,0;2,0
Estudiante 216;4,0;4,0;1,0;0,0;5,0
Estudiante 217;3,0;3,0;1,0;5,0;5,0
Estudiante 218;1,0;2,0;0,0;5,0;3,0
Estudiante 219;1,0;2,0;5,0;5,0;1,0
Estudiante 220;4,0;0,0;1,0;3,0;2,0
Estudiante 221;4,0;2,0;1,0;0,0;5,0
Estudiante 222;3,0;5,0;2,0;3,0;3,0
Estudiante 223;0,0;0,0;2,0;1,0;0,0
Estudiante 224;2,0;5,0;3,0;3,0;4,0
Estudiante 225;5,0;4,0;1,0;1,0;0,0
Estudiante 226;5,0;1,0;5,0;3,0;5,0
Estudiante 227;4,0;2,0;4,0;0,0;3,0
Estudiante 228;2,0;2,0;5,0;0,0;0,0
Estudiante 229;0,0;3,0;3,0;3,0;3,0
Estudiante 230;2,0;4,0;0,0;4,0;1,0
Estudiante 231;5,0;1,0;4,0;2,0;5,0
Estudiante 232;4,0;5,0;5,0;5,0;2,0
Estudiante 233;4,0;0,0;0,0;0,0;5,0
Estudiante 234;0,0;4,0;4,0;1,0;1,0
Estudiante 235;5,0;2,0;2,0;2,0;3,0
Estudiante 236;2,0;3,0;5,0;5,0;0,0
Estudiante 237;5,0;1,0;3,0;0,0;3,0
Estudiante 238;4,0;3,0;3,0;2,0;5,0
Estudiante 239;0,0;0,0;1,0;2,0;3,0
Estudiante 240;1,0;2,0;4,0;2,0;3,0
Estudiante 241;3,0;2,0;3,0;0,0;3,0
Estudiante 242;1,0;2,0;5,0;2,0;5,0
Estudiante 243;5,0;0,0;1,0;1,0;5,0
Estudiante 244;0,0;2,0;0,0;0,0;5,0
Estudiante 245;4,0;4,0;1,0;3,0;5,0
Estudiante 246;4,0;3,0;5,0;5,0;3,0
Estudiante 247;5,0;4,0;4,0;3,0;5,0
Estudiante 248;3,0;4,0;2,0;2,0;5,0
Estudiante 249;3,0;4,0;1,0;5,0;5,0
Estudiante 250;0,0;0,0;3,0;0,0;1,0
Estudiante 251;0,0;3,0;5,0;2,0;3,0
Estudiante 252;3,0;1,0;3,0;0,0;5,0
Estudiante 253;4,0;5,0;4,0;5,0;0,0
Estudiante 254;4,0;0,0;0,0;3,0;4,0
Estudiante 255;5,0;4,0;1,0;2,0;4,0
Estudiante 256;2,0;0,0;0,0;3,0;3,0
Estudiante 257;5,0;1,0;0,0;1,0;2,0
Estudiante 258;2,0;4,0;3,0;1,0;0,0
Estudiante 259;5,0;3,0;5,0;3,0;5,0
Estudiante 260;1,0;3,0;1,0;2,0;1,0
Estudiante 261;5,0;5,0;4,0;4,0;5,0
Estudiante 262;2,0;5,0;5,0;0,0;3,0
Estudiante 263;0,0;5,0;1,0;0,0;5,0
Estudiante 264;4,0;2,0;3,0;3,0;2,0
Estudiante 265;1,0;5,0;4,0;1,0;2,0
Estudiante 266;0,0;5,0;1,0;1,0;5,0
Estudiante 267;2,0;1,0;5,0;3,0;0,0
Estudiante 268;0,0;0,0;2,0;1,0;4,0
Estudiante 269;1,0;2,0;2,0;1,0;5,0
Estudiante 270;4,0;2,0;1,0;0,0;0,0
Estudiante 271;3,0;1,0;5,0;4,0;3,0
Estudiante 272;2,0;5,0;3,0;0,0;2,0
